Identifier,SMILES
NPBS000084,OC=1C(OC)=CC(=CC1OC)C2=[O+]C=3C=C(OC)C=C(OC4OC(CO)C(O)C(O)C4O)C3C=C2OC5OC(CO)C(O)C(O)C5O
NPBS000085,O=C(OCC1(C(=O)OC)C2C(=CC)CN3CCC41C=5C=CC=CC5N=C4C3C2)C
NPBS000086,OC=1C=CC(=CC1)C2=[O+]C=3C=C(O)C=C(O)C3C=C2OC4OC(C)C(O)C(O)C4O
NPBS000087,O=C(OCC1(C(=O)OC)C2C(=CC)CN3C4OC5(NC=6C=CC=CC6C51C4)C3C2)C
NPBS000088,O=C1C=2C(OC3OC(CO)C(O)C(O)C3O)=CC(OC)=CC2OC(C4=CC=C(O)C=C4)C1
NPBS000089,O=C(OC)C12COC34N(C5=CC=C(O)C=C5C42CCN6CC(=CC)C1CC63)C
NPBS000090,OC=1C=CC(=CC1)C2=[O+]C=3C=C(O)C=C(OC4OC(CO)C(O)C(O)C4O)C3C=C2OC5OC(CO)C(O)C(O)C5OC6OC(CO)C(O)C(O)C6O
NPBS000091,O=C(OC)C1=COC(C)C2CN3CCC=4C=5C=CC=CC5NC4C3CC12
NPBS000092,O=C(OC)C1(CO)C2C(=CC)CN3C(C=4NC=5C=CC=CC5C4CC31)C2
NPBS000093,OC=1C=CC(=CC1)C2=[O+]C=3C=C(O)C=C(OC4OC(CO)C(O)C(O)C4O)C3C=C2OC5OC(C)C(O)C(O)C5O
NPBS000094,OC1=CC=2C(O)=CC(OC)=CC2[O+]=C1C=3C=C(OC)C(O)=C(OC)C3
NPBS000095,O=C1C2=C(O)C=C(OC3OC(CO)C(O)C(O)C3OC4OC(C)C(O)C(O)C4O)C=C2OC(C5=CC=C(O)C=C5)C1
NPBS000096,O=C(O)CCCCCCCCCC(OC1OC(C)C(O)C(O)C1OC2OC(C)C(OC3OC(C)C(OC4OC(C)C(O)C(O)C4O)C(OC5OC(C)C(O)C(O)C5O)C3O)C(O)C2O)CCCCC
NPBS000097,O=C1C(O)=C(OC2=CC(OC3OC(CO)C(O)C(O)C3O)=C(O)C(O)=C12)C=4C=CC(O)=C(O)C4
NPBS000098,O=C1C2=C(O)C=C(OC3OC(CO)C(O)C(O)C3O)C=C2OC(C4=CC=C(OC)C=C4)C1
NPBS000099,O=C1C2=C(O)C=C(OC3OC(COC4OC(C)C(O)C(O)C4O)C(O)C(O)C3O)C=C2OC(C5=CC=C(OC)C=C5)C1
NPBS000100,OC(C=1C=CC=CC1)CC2N(C)C(CCC2)CC(O)C=3C=CC=CC3
NPBS000101,O=C(OC1C2C3CC1(O)C(OC)C(O)C2(OC(=O)C)C4C(OC)C5C6(COC)CN(C)C4C35C(OC)CC6)C=7C=CC=CC7
NPBS000102,OC1=C(OC)C=C2C3=C1C4=C(OC)C(OC)=CC=C4CC3NCC2
NPBS000103,O=C(OC1CC23C4N5CC(C)(C1O)C3C5CC67C(O)C(=C)C(CC46)CC72O)C=8C=CC=CC8
NPBS000104,O=C1C=C(OC2=CC(OC3OC(CO)C(O)C(O)C3O)=C(O)C(O)=C12)C=4C=CC(O)=CC4
NPBS000105,O=C1C2=C(O)C=C3OC(C=CC3=C2OC4COC5=CC(OC)=C(OC)C=C5C14)(C)C
NPBS000106,OC1C=C(C)C(C=CC(=CC=CC(=CC=CC=C(C=CC=C(C=CC2=C(C)CC(O)CC2(C)C)C)C)C)C)C(C)(C)C1
